251 	 Q0 	    FT941-13190 	    1 	 0.140600 	 gmu96ma2 
251 	 Q0 	     FT924-9737 	    2 	 0.112600 	 gmu96ma2 
251 	 Q0 	  ZF207-907-929 	    3 	 0.111700 	 gmu96ma2 
251 	 Q0 	     FT942-7460 	    4 	 0.107800 	 gmu96ma2 
251 	 Q0 	    FT924-14074 	    5 	 0.106000 	 gmu96ma2 
251 	 Q0 	    FT921-13065 	    6 	 0.105400 	 gmu96ma2 
251 	 Q0 	    CR93H-10277 	    7 	 0.104200 	 gmu96ma2 
251 	 Q0 	     FT922-8754 	    8 	 0.099400 	 gmu96ma2 
251 	 Q0 	 WSJ900820-0051 	    9 	 0.096000 	 gmu96ma2 
251 	 Q0 	    FT941-15016 	   10 	 0.095700 	 gmu96ma2 
251 	 Q0 	 WSJ910513-0109 	   11 	 0.088300 	 gmu96ma2 
251 	 Q0 	 WSJ920108-0095 	   12 	 0.087600 	 gmu96ma2 
251 	 Q0 	    FT921-13286 	   13 	 0.086900 	 gmu96ma2 
251 	 Q0 	     CR93H-6739 	   14 	 0.082800 	 gmu96ma2 
251 	 Q0 	    FT944-18881 	   15 	 0.081000 	 gmu96ma2 
251 	 Q0 	    CR93H-10297 	   16 	 0.080100 	 gmu96ma2 
251 	 Q0 	  ZF207-261-381 	   17 	 0.078900 	 gmu96ma2 
251 	 Q0 	     FT941-3523 	   18 	 0.074300 	 gmu96ma2 
251 	 Q0 	     CR93E-2056 	   19 	 0.073600 	 gmu96ma2 
251 	 Q0 	    FT921-15873 	   20 	 0.070200 	 gmu96ma2 
251 	 Q0 	     FT933-5469 	   21 	 0.070100 	 gmu96ma2 
251 	 Q0 	     FT924-3870 	   22 	 0.069100 	 gmu96ma2 
251 	 Q0 	  ZF207-913-094 	   23 	 0.068900 	 gmu96ma2 
251 	 Q0 	    FT922-14857 	   24 	 0.067800 	 gmu96ma2 
251 	 Q0 	  ZF207-890-124 	   25 	 0.065900 	 gmu96ma2 
251 	 Q0 	  AP881025-0254 	   26 	 0.065000 	 gmu96ma2 
251 	 Q0 	     CR93H-8064 	   27 	 0.065000 	 gmu96ma2 
251 	 Q0 	  AP880408-0282 	   28 	 0.064700 	 gmu96ma2 
251 	 Q0 	     FT921-9095 	   29 	 0.064100 	 gmu96ma2 
251 	 Q0 	 WSJ920123-0146 	   30 	 0.063200 	 gmu96ma2 
251 	 Q0 	     FT941-3534 	   31 	 0.062600 	 gmu96ma2 
251 	 Q0 	    FT934-11100 	   32 	 0.061000 	 gmu96ma2 
251 	 Q0 	      FT922-789 	   33 	 0.060800 	 gmu96ma2 
251 	 Q0 	     FT933-5474 	   34 	 0.060600 	 gmu96ma2 
251 	 Q0 	    FT923-13369 	   35 	 0.060100 	 gmu96ma2 
251 	 Q0 	    FT924-12725 	   36 	 0.059600 	 gmu96ma2 
251 	 Q0 	    FT941-14265 	   37 	 0.059300 	 gmu96ma2 
251 	 Q0 	      FT943-791 	   38 	 0.058600 	 gmu96ma2 
251 	 Q0 	    FT924-12351 	   39 	 0.056000 	 gmu96ma2 
251 	 Q0 	     CR93E-6693 	   40 	 0.054500 	 gmu96ma2 
251 	 Q0 	     CR93H-4123 	   41 	 0.054400 	 gmu96ma2 
251 	 Q0 	     CR93E-6886 	   42 	 0.053900 	 gmu96ma2 
251 	 Q0 	    FT924-13689 	   43 	 0.053000 	 gmu96ma2 
251 	 Q0 	    FT934-15064 	   44 	 0.052000 	 gmu96ma2 
251 	 Q0 	     FT923-6916 	   45 	 0.051000 	 gmu96ma2 
251 	 Q0 	     FT922-4153 	   46 	 0.050700 	 gmu96ma2 
251 	 Q0 	    FT921-15769 	   47 	 0.050200 	 gmu96ma2 
251 	 Q0 	  ZF207-210-944 	   48 	 0.049300 	 gmu96ma2 
251 	 Q0 	    FT934-11879 	   49 	 0.049300 	 gmu96ma2 
251 	 Q0 	 WSJ920319-0069 	   50 	 0.049100 	 gmu96ma2 
251 	 Q0 	    FT943-12413 	   51 	 0.048200 	 gmu96ma2 
251 	 Q0 	    FT941-14570 	   52 	 0.048000 	 gmu96ma2 
251 	 Q0 	    FT921-15847 	   53 	 0.048000 	 gmu96ma2 
251 	 Q0 	     CR93H-7273 	   54 	 0.047000 	 gmu96ma2 
251 	 Q0 	 WSJ900702-0106 	   55 	 0.046600 	 gmu96ma2 
251 	 Q0 	 WSJ910422-0008 	   56 	 0.045400 	 gmu96ma2 
251 	 Q0 	     CR93H-7274 	   57 	 0.045400 	 gmu96ma2 
251 	 Q0 	  AP881013-0288 	   58 	 0.044600 	 gmu96ma2 
251 	 Q0 	    CR93H-15729 	   59 	 0.044500 	 gmu96ma2 
251 	 Q0 	     CR93H-4122 	   60 	 0.044100 	 gmu96ma2 
251 	 Q0 	     FT933-1179 	   61 	 0.043100 	 gmu96ma2 
251 	 Q0 	    FT941-14266 	   62 	 0.043000 	 gmu96ma2 
251 	 Q0 	  AP880930-0234 	   63 	 0.042900 	 gmu96ma2 
251 	 Q0 	 WSJ910208-0053 	   64 	 0.042600 	 gmu96ma2 
251 	 Q0 	    FT942-13465 	   65 	 0.042300 	 gmu96ma2 
251 	 Q0 	    CR93H-16393 	   66 	 0.042200 	 gmu96ma2 
251 	 Q0 	     FT921-2333 	   67 	 0.042100 	 gmu96ma2 
251 	 Q0 	     CR93H-3973 	   68 	 0.041900 	 gmu96ma2 
251 	 Q0 	  ZF207-334-496 	   69 	 0.041900 	 gmu96ma2 
251 	 Q0 	     FT931-9831 	   70 	 0.041600 	 gmu96ma2 
251 	 Q0 	 WSJ900625-0095 	   71 	 0.041500 	 gmu96ma2 
251 	 Q0 	     CR93H-2172 	   72 	 0.041400 	 gmu96ma2 
251 	 Q0 	    FT921-11457 	   73 	 0.041200 	 gmu96ma2 
251 	 Q0 	     FT941-9664 	   74 	 0.040100 	 gmu96ma2 
251 	 Q0 	     FT932-9714 	   75 	 0.038200 	 gmu96ma2 
251 	 Q0 	  AP880912-0238 	   76 	 0.037900 	 gmu96ma2 
251 	 Q0 	     CR93E-9614 	   77 	 0.037900 	 gmu96ma2 
251 	 Q0 	    FT934-11784 	   78 	 0.037100 	 gmu96ma2 
251 	 Q0 	    CR93H-12624 	   79 	 0.036900 	 gmu96ma2 
251 	 Q0 	    CR93H-16146 	   80 	 0.036800 	 gmu96ma2 
251 	 Q0 	     FT924-4035 	   81 	 0.036600 	 gmu96ma2 
251 	 Q0 	    FT941-15707 	   82 	 0.036600 	 gmu96ma2 
251 	 Q0 	     FT932-5790 	   83 	 0.035700 	 gmu96ma2 
251 	 Q0 	 WSJ900612-0002 	   84 	 0.035600 	 gmu96ma2 
251 	 Q0 	  ZF207-339-223 	   85 	 0.035000 	 gmu96ma2 
251 	 Q0 	 WSJ911205-0094 	   86 	 0.034800 	 gmu96ma2 
251 	 Q0 	     CR93H-7896 	   87 	 0.034600 	 gmu96ma2 
251 	 Q0 	     CR93H-8460 	   88 	 0.034500 	 gmu96ma2 
251 	 Q0 	    FT921-16405 	   89 	 0.034400 	 gmu96ma2 
251 	 Q0 	     CR93H-3167 	   90 	 0.034100 	 gmu96ma2 
251 	 Q0 	     CR93H-6766 	   91 	 0.034000 	 gmu96ma2 
251 	 Q0 	     FT944-9856 	   92 	 0.033900 	 gmu96ma2 
251 	 Q0 	  AP880803-0246 	   93 	 0.033500 	 gmu96ma2 
251 	 Q0 	     CR93H-4886 	   94 	 0.033200 	 gmu96ma2 
251 	 Q0 	    FT933-10289 	   95 	 0.032500 	 gmu96ma2 
251 	 Q0 	     FT911-2964 	   96 	 0.032200 	 gmu96ma2 
251 	 Q0 	    CR93H-10317 	   97 	 0.031400 	 gmu96ma2 
251 	 Q0 	     CR93H-3389 	   98 	 0.031200 	 gmu96ma2 
251 	 Q0 	     FT921-3171 	   99 	 0.031100 	 gmu96ma2 
251 	 Q0 	     CR93H-7272 	  100 	 0.031000 	 gmu96ma2 
251 	 Q0 	    FT931-15491 	  101 	 0.031000 	 gmu96ma2 
251 	 Q0 	    FT931-15562 	  102 	 0.031000 	 gmu96ma2 
251 	 Q0 	    FT924-12704 	  103 	 0.030900 	 gmu96ma2 
251 	 Q0 	     FT924-7197 	  104 	 0.030600 	 gmu96ma2 
251 	 Q0 	 WSJ920128-0093 	  105 	 0.030600 	 gmu96ma2 
251 	 Q0 	    FT923-13370 	  106 	 0.030500 	 gmu96ma2 
251 	 Q0 	     FT933-7669 	  107 	 0.030400 	 gmu96ma2 
251 	 Q0 	    FT943-14374 	  108 	 0.029800 	 gmu96ma2 
251 	 Q0 	     FT921-8556 	  109 	 0.029700 	 gmu96ma2 
251 	 Q0 	    CR93H-14671 	  110 	 0.029500 	 gmu96ma2 
251 	 Q0 	    FT932-16991 	  111 	 0.029200 	 gmu96ma2 
251 	 Q0 	     FT944-5507 	  112 	 0.029200 	 gmu96ma2 
251 	 Q0 	     FT941-3640 	  113 	 0.028900 	 gmu96ma2 
251 	 Q0 	    FT932-10519 	  114 	 0.028900 	 gmu96ma2 
251 	 Q0 	     CR93H-7898 	  115 	 0.028800 	 gmu96ma2 
251 	 Q0 	     FT942-5997 	  116 	 0.028800 	 gmu96ma2 
251 	 Q0 	 WSJ910215-0113 	  117 	 0.028800 	 gmu96ma2 
251 	 Q0 	    FT933-13434 	  118 	 0.028800 	 gmu96ma2 
251 	 Q0 	     CR93H-8461 	  119 	 0.028700 	 gmu96ma2 
251 	 Q0 	      FT941-246 	  120 	 0.028600 	 gmu96ma2 
251 	 Q0 	    FT934-12521 	  121 	 0.028500 	 gmu96ma2 
251 	 Q0 	     CR93H-6905 	  122 	 0.028100 	 gmu96ma2 
251 	 Q0 	 WSJ900921-0157 	  123 	 0.028000 	 gmu96ma2 
251 	 Q0 	     FT924-9346 	  124 	 0.027900 	 gmu96ma2 
251 	 Q0 	     FT932-1932 	  125 	 0.027800 	 gmu96ma2 
251 	 Q0 	    FT942-13196 	  126 	 0.027000 	 gmu96ma2 
251 	 Q0 	 WSJ910909-0106 	  127 	 0.026800 	 gmu96ma2 
251 	 Q0 	    FT934-12277 	  128 	 0.026700 	 gmu96ma2 
251 	 Q0 	    FT933-15117 	  129 	 0.026700 	 gmu96ma2 
251 	 Q0 	     FT931-4647 	  130 	 0.026400 	 gmu96ma2 
251 	 Q0 	  AP880907-0163 	  131 	 0.026300 	 gmu96ma2 
251 	 Q0 	  AP880907-0266 	  132 	 0.026300 	 gmu96ma2 
251 	 Q0 	     CR93H-3166 	  133 	 0.026300 	 gmu96ma2 
251 	 Q0 	     FT944-9432 	  134 	 0.026200 	 gmu96ma2 
251 	 Q0 	    FT942-13079 	  135 	 0.025900 	 gmu96ma2 
251 	 Q0 	      FT932-472 	  136 	 0.025800 	 gmu96ma2 
251 	 Q0 	     FT942-8495 	  137 	 0.025400 	 gmu96ma2 
251 	 Q0 	     FT933-4222 	  138 	 0.025200 	 gmu96ma2 
251 	 Q0 	      FT934-164 	  139 	 0.025100 	 gmu96ma2 
251 	 Q0 	    FT923-11935 	  140 	 0.024800 	 gmu96ma2 
251 	 Q0 	     FT931-7127 	  141 	 0.024700 	 gmu96ma2 
251 	 Q0 	  AP880929-0024 	  142 	 0.024600 	 gmu96ma2 
251 	 Q0 	     CR93E-9650 	  143 	 0.023900 	 gmu96ma2 
251 	 Q0 	    FT933-16430 	  144 	 0.023600 	 gmu96ma2 
251 	 Q0 	    CR93H-10320 	  145 	 0.023500 	 gmu96ma2 
251 	 Q0 	     FT941-8031 	  146 	 0.023500 	 gmu96ma2 
251 	 Q0 	    FT931-16221 	  147 	 0.023500 	 gmu96ma2 
251 	 Q0 	    FT931-15415 	  148 	 0.023400 	 gmu96ma2 
251 	 Q0 	     FT941-6866 	  149 	 0.023300 	 gmu96ma2 
251 	 Q0 	     FT931-3074 	  150 	 0.023200 	 gmu96ma2 
251 	 Q0 	    CR93H-12234 	  151 	 0.023200 	 gmu96ma2 
251 	 Q0 	     CR93E-4176 	  152 	 0.023100 	 gmu96ma2 
251 	 Q0 	     FT922-5249 	  153 	 0.023000 	 gmu96ma2 
251 	 Q0 	    FT931-15564 	  154 	 0.022500 	 gmu96ma2 
251 	 Q0 	    FT931-15492 	  155 	 0.022500 	 gmu96ma2 
251 	 Q0 	    FT921-11959 	  156 	 0.022300 	 gmu96ma2 
251 	 Q0 	    FT922-14285 	  157 	 0.022300 	 gmu96ma2 
251 	 Q0 	     FT924-1685 	  158 	 0.022200 	 gmu96ma2 
251 	 Q0 	     FT934-1860 	  159 	 0.022000 	 gmu96ma2 
251 	 Q0 	     FT911-3314 	  160 	 0.021500 	 gmu96ma2 
251 	 Q0 	 WSJ911004-0077 	  161 	 0.021000 	 gmu96ma2 
251 	 Q0 	     FT931-8432 	  162 	 0.021000 	 gmu96ma2 
251 	 Q0 	     FT942-7717 	  163 	 0.021000 	 gmu96ma2 
251 	 Q0 	      FT922-918 	  164 	 0.020500 	 gmu96ma2 
251 	 Q0 	    FT923-11439 	  165 	 0.020000 	 gmu96ma2 
251 	 Q0 	     FT944-6018 	  166 	 0.019900 	 gmu96ma2 
251 	 Q0 	    CR93E-10655 	  167 	 0.019200 	 gmu96ma2 
251 	 Q0 	     FT924-2409 	  168 	 0.019200 	 gmu96ma2 
251 	 Q0 	     FT921-2485 	  169 	 0.019100 	 gmu96ma2 
251 	 Q0 	     FT942-6835 	  170 	 0.018900 	 gmu96ma2 
251 	 Q0 	    FT932-15066 	  171 	 0.018800 	 gmu96ma2 
251 	 Q0 	    FT943-10589 	  172 	 0.018700 	 gmu96ma2 
251 	 Q0 	    FT942-10999 	  173 	 0.018600 	 gmu96ma2 
251 	 Q0 	    FT922-11326 	  174 	 0.018500 	 gmu96ma2 
251 	 Q0 	      FT924-963 	  175 	 0.018300 	 gmu96ma2 
251 	 Q0 	    FT943-10784 	  176 	 0.018300 	 gmu96ma2 
251 	 Q0 	     FT941-7560 	  177 	 0.018300 	 gmu96ma2 
251 	 Q0 	     FT944-5948 	  178 	 0.018200 	 gmu96ma2 
251 	 Q0 	    FT924-12067 	  179 	 0.018100 	 gmu96ma2 
251 	 Q0 	     FT911-1600 	  180 	 0.018000 	 gmu96ma2 
251 	 Q0 	    FT944-18256 	  181 	 0.017600 	 gmu96ma2 
251 	 Q0 	    FT943-16012 	  182 	 0.017500 	 gmu96ma2 
251 	 Q0 	      CR93E-983 	  183 	 0.017400 	 gmu96ma2 
251 	 Q0 	     CR93E-3309 	  184 	 0.017300 	 gmu96ma2 
251 	 Q0 	    FT931-12299 	  185 	 0.017300 	 gmu96ma2 
251 	 Q0 	    FT921-14425 	  186 	 0.017200 	 gmu96ma2 
251 	 Q0 	    FT942-15166 	  187 	 0.017200 	 gmu96ma2 
251 	 Q0 	     CR93E-2039 	  188 	 0.017100 	 gmu96ma2 
251 	 Q0 	    FT924-10887 	  189 	 0.016900 	 gmu96ma2 
251 	 Q0 	    FT943-15133 	  190 	 0.016200 	 gmu96ma2 
251 	 Q0 	     FT931-3523 	  191 	 0.016200 	 gmu96ma2 
251 	 Q0 	     FT921-1027 	  192 	 0.015900 	 gmu96ma2 
251 	 Q0 	     CR93E-3277 	  193 	 0.015800 	 gmu96ma2 
251 	 Q0 	    FT941-17024 	  194 	 0.015500 	 gmu96ma2 
251 	 Q0 	    FT931-11289 	  195 	 0.015500 	 gmu96ma2 
251 	 Q0 	     FT943-1202 	  196 	 0.015400 	 gmu96ma2 
251 	 Q0 	  AP880909-0027 	  197 	 0.015400 	 gmu96ma2 
251 	 Q0 	    FT922-14470 	  198 	 0.015300 	 gmu96ma2 
251 	 Q0 	    FT933-15668 	  199 	 0.015200 	 gmu96ma2 
251 	 Q0 	    FT943-14228 	  200 	 0.015100 	 gmu96ma2 
251 	 Q0 	    CR93H-11436 	  201 	 0.014900 	 gmu96ma2 
251 	 Q0 	    CR93E-10386 	  202 	 0.014900 	 gmu96ma2 
